0.0,44.0
0.0,45.0
0.0,78.0
0.0,79.0
0.0,84.0
0.0,85.0
0.0,88.0
0.0,89.0
0.0,90.0
0.0,91.0
0.0,92.0
0.0,93.0
0.0,104.0
0.0,105.0
0.0,106.0
0.0,107.0
0.0,108.0
0.0,109.0
0.0,121.0
0.0,122.0
0.0,123.0
0.0,126.0
0.0,127.0
0.0,128.0
0.0,129.0
1.0,41.0
1.0,42.0
1.0,43.0
1.0,44.0
1.0,45.0
1.0,46.0
1.0,47.0
1.0,68.0
1.0,69.0
1.0,70.0
1.0,71.0
1.0,72.0
1.0,75.0
1.0,76.0
1.0,77.0
1.0,78.0
1.0,79.0
1.0,80.0
1.0,81.0
1.0,82.0
1.0,83.0
1.0,84.0
1.0,85.0
1.0,86.0
1.0,87.0
1.0,88.0
1.0,89.0
1.0,90.0
1.0,91.0
1.0,92.0
1.0,93.0
1.0,94.0
1.0,95.0
1.0,96.0
1.0,97.0
1.0,98.0
1.0,99.0
1.0,100.0
1.0,101.0
1.0,102.0
1.0,103.0
1.0,104.0
1.0,105.0
1.0,106.0
1.0,107.0
1.0,108.0
1.0,109.0
1.0,110.0
1.0,111.0
1.0,112.0
1.0,116.0
1.0,117.0
1.0,118.0
1.0,119.0
1.0,120.0
1.0,121.0
1.0,122.0
1.0,123.0
1.0,124.0
1.0,125.0
1.0,126.0
1.0,127.0
1.0,128.0
1.0,129.0
1.0,130.0
1.0,131.0
1.0,132.0
1.0,133.0
1.0,134.0
1.0,135.0
1.0,136.0
1.0,137.0
1.0,138.0
1.0,139.0
1.0,140.0
1.0,141.0
2.0,16.0
2.0,17.0
2.0,39.0
2.0,40.0
2.0,41.0
2.0,42.0
2.0,43.0
2.0,44.0
2.0,45.0
2.0,46.0
2.0,47.0
2.0,48.0
2.0,49.0
2.0,50.0
2.0,51.0
2.0,52.0
2.0,53.0
2.0,54.0
2.0,62.0
2.0,68.0
2.0,69.0
2.0,70.0
2.0,71.0
2.0,72.0
2.0,73.0
2.0,74.0
2.0,75.0
2.0,76.0
2.0,77.0
2.0,78.0
2.0,79.0
2.0,80.0
2.0,81.0
2.0,82.0
2.0,83.0
2.0,84.0
2.0,85.0
2.0,86.0
2.0,87.0
2.0,88.0
2.0,89.0
2.0,90.0
2.0,91.0
2.0,92.0
2.0,93.0
2.0,94.0
2.0,95.0
2.0,96.0
2.0,97.0
2.0,98.0
2.0,99.0
2.0,100.0
2.0,101.0
2.0,102.0
2.0,103.0
2.0,104.0
2.0,105.0
2.0,106.0
2.0,107.0
2.0,108.0
2.0,109.0
2.0,110.0
2.0,111.0
2.0,112.0
2.0,113.0
2.0,114.0
2.0,115.0
2.0,116.0
2.0,117.0
2.0,118.0
2.0,119.0
2.0,120.0
2.0,121.0
2.0,122.0
2.0,123.0
2.0,124.0
2.0,125.0
2.0,126.0
2.0,127.0
2.0,128.0
2.0,129.0
2.0,130.0
2.0,131.0
2.0,132.0
2.0,133.0
2.0,134.0
2.0,135.0
2.0,136.0
2.0,137.0
2.0,138.0
2.0,139.0
2.0,140.0
2.0,141.0
2.0,142.0
3.0,17.0
3.0,18.0
3.0,19.0
3.0,20.0
3.0,30.0
3.0,31.0
3.0,32.0
3.0,33.0
3.0,38.0
3.0,39.0
3.0,40.0
3.0,41.0
3.0,42.0
3.0,43.0
3.0,44.0
3.0,45.0
3.0,46.0
3.0,47.0
3.0,48.0
3.0,49.0
3.0,50.0
3.0,51.0
3.0,52.0
3.0,53.0
3.0,54.0
3.0,55.0
3.0,56.0
3.0,57.0
3.0,58.0
3.0,59.0
3.0,60.0
3.0,61.0
3.0,62.0
3.0,63.0
3.0,68.0
3.0,69.0
3.0,70.0
3.0,71.0
3.0,72.0
3.0,73.0
3.0,74.0
3.0,75.0
3.0,76.0
3.0,77.0
3.0,78.0
3.0,79.0
3.0,80.0
3.0,81.0
3.0,82.0
3.0,83.0
3.0,84.0
3.0,85.0
3.0,86.0
3.0,87.0
3.0,88.0
3.0,89.0
3.0,90.0
3.0,91.0
3.0,92.0
3.0,93.0
3.0,94.0
3.0,95.0
3.0,96.0
3.0,97.0
3.0,98.0
3.0,99.0
3.0,100.0
3.0,101.0
3.0,102.0
3.0,103.0
3.0,104.0
3.0,105.0
3.0,106.0
3.0,107.0
3.0,108.0
3.0,109.0
3.0,110.0
3.0,111.0
3.0,112.0
3.0,113.0
3.0,114.0
3.0,115.0
3.0,116.0
3.0,117.0
3.0,118.0
3.0,119.0
3.0,120.0
3.0,121.0
3.0,122.0
3.0,123.0
3.0,124.0
3.0,125.0
3.0,126.0
3.0,127.0
3.0,128.0
3.0,129.0
3.0,130.0
3.0,131.0
3.0,132.0
3.0,133.0
3.0,134.0
3.0,135.0
3.0,136.0
3.0,137.0
3.0,138.0
3.0,139.0
3.0,140.0
3.0,141.0
4.0,0.0
4.0,17.0
4.0,18.0
4.0,19.0
4.0,20.0
4.0,21.0
4.0,22.0
4.0,25.0
4.0,26.0
4.0,27.0
4.0,28.0
4.0,29.0
4.0,30.0
4.0,31.0
4.0,32.0
4.0,33.0
4.0,34.0
4.0,35.0
4.0,36.0
4.0,37.0
4.0,38.0
4.0,39.0
4.0,40.0
4.0,41.0
4.0,42.0
4.0,43.0
4.0,44.0
4.0,45.0
4.0,46.0
4.0,54.0
4.0,55.0
4.0,56.0
4.0,57.0
4.0,58.0
4.0,59.0
4.0,60.0
4.0,61.0
4.0,62.0
4.0,63.0
4.0,68.0
4.0,69.0
4.0,70.0
4.0,71.0
4.0,72.0
4.0,73.0
4.0,74.0
4.0,75.0
4.0,76.0
4.0,77.0
4.0,78.0
4.0,79.0
4.0,80.0
4.0,81.0
4.0,82.0
4.0,83.0
4.0,84.0
4.0,85.0
4.0,86.0
4.0,87.0
4.0,88.0
4.0,89.0
4.0,90.0
4.0,91.0
4.0,92.0
4.0,93.0
4.0,94.0
4.0,95.0
4.0,96.0
4.0,97.0
4.0,98.0
4.0,99.0
4.0,100.0
4.0,101.0
4.0,102.0
4.0,103.0
4.0,104.0
4.0,105.0
4.0,106.0
4.0,107.0
4.0,108.0
4.0,109.0
4.0,110.0
4.0,111.0
4.0,112.0
4.0,113.0
4.0,114.0
4.0,118.0
4.0,119.0
4.0,120.0
4.0,121.0
4.0,122.0
4.0,123.0
4.0,124.0
4.0,125.0
4.0,126.0
4.0,127.0
4.0,128.0
4.0,129.0
4.0,130.0
4.0,131.0
4.0,132.0
4.0,133.0
4.0,134.0
4.0,135.0
4.0,136.0
4.0,137.0
4.0,138.0
4.0,139.0
4.0,140.0
5.0,0.0
5.0,17.0
5.0,18.0
5.0,19.0
5.0,20.0
5.0,21.0
5.0,22.0
5.0,23.0
5.0,24.0
5.0,25.0
5.0,26.0
5.0,27.0
5.0,28.0
5.0,29.0
5.0,30.0
5.0,31.0
5.0,32.0
5.0,33.0
5.0,34.0
5.0,35.0
5.0,36.0
5.0,37.0
5.0,38.0
5.0,39.0
5.0,40.0
5.0,41.0
5.0,42.0
5.0,43.0
5.0,44.0
5.0,45.0
5.0,54.0
5.0,55.0
5.0,56.0
5.0,57.0
5.0,58.0
5.0,59.0
5.0,60.0
5.0,61.0
5.0,62.0
5.0,63.0
5.0,69.0
5.0,70.0
5.0,71.0
5.0,72.0
5.0,73.0
5.0,74.0
5.0,75.0
5.0,76.0
5.0,77.0
5.0,78.0
5.0,79.0
5.0,80.0
5.0,81.0
5.0,82.0
5.0,83.0
5.0,84.0
5.0,85.0
5.0,86.0
5.0,87.0
5.0,88.0
5.0,89.0
5.0,90.0
5.0,91.0
5.0,92.0
5.0,93.0
